variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Minimum,Maximum,Mean,None
timestamp,Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Precipitation Total,Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Direction Dominant [10 m]
20100212T0000,-3.8594716,1.1105287,-1.112388,55.0,94.0,73.041664,1005.5,1014.3,1011.21674,1.3000001,2.968636,23.068108,12.461978,31.272522
20100213T0000,-4.8894715,1.9205287,-1.446555,64.0,92.0,79.708336,1012.6,1016.2,1014.08746,0.0,0.71999997,12.261157,6.639665,73.934944
20100214T0000,-4.8494716,4.1705284,-0.989888,51.0,96.0,76.208336,1011.5,1015.1,1013.4375,0.0,0.8049845,10.144082,4.576238,304.67642
20100215T0000,-5.3594713,2.2405286,-1.8511382,63.0,92.0,79.958336,1006.8,1012.1,1009.5334,0.0,1.9386592,9.3876505,5.132437,129.32964
20100216T0000,-4.6494713,6.6205287,0.77302843,56.0,91.0,76.083336,998.9,1007.9,1002.8416,0.0,3.219938,15.94601,9.570615,116.96854
20100217T0000,0.8305287,6.5105286,3.5159454,79.0,95.0,85.541664,992.8,999.2,995.3249,5.7999997,5.2416787,16.79314,10.945087,117.5989
20100218T0000,2.8505285,10.140529,6.4509454,69.0,97.0,82.958336,994.8,1001.6,998.97076,1.3000001,2.1897945,14.404499,8.752873,119.13428
20100219T0000,2.2705286,6.3105288,4.869695,78.0,95.0,87.875,992.6,1000.2,995.8249,2.8999999,3.671294,21.322214,12.8558,289.0608
20100220T0000,0.12052866,6.4305286,2.7196953,54.0,89.0,76.291664,1000.6,1005.7,1002.304,0.3,2.4149535,29.601109,12.640058,254.2612
20100221T0000,0.5705287,9.830529,4.569695,52.0,83.0,71.833336,1000.4,1006.9,1003.3584,0.0,5.3999996,22.89611,14.947827,213.99197
20100222T0000,2.5905285,14.700529,8.419279,55.0,86.0,71.5,993.4,1000.4,996.04584,0.4,6.87779,22.45315,12.513535,189.97849
20100223T0000,7.3105288,13.120529,9.822612,64.0,80.0,72.333336,994.7,1001.1,997.0959,0.5,6.28713,28.58545,17.621733,225.95361
20100224T0000,4.9305286,13.260529,8.845529,62.0,91.0,78.416664,1000.9,1004.6,1002.4959,1.5,5.154415,19.33639,9.914324,186.7988
20100225T0000,3.0705285,13.520529,8.620113,56.0,85.0,72.208336,996.7,1004.9,1001.1958,3.8,5.3517847,25.537172,15.043576,194.30908
20100226T0000,4.3205285,9.920529,7.46553,59.0,91.0,74.208336,994.7,1009.5,999.95844,5.1,5.3517847,50.23516,26.60759,242.2141
20100227T0000,2.1705287,13.110529,6.918445,39.0,89.0,66.708336,997.6,1011.3,1006.40826,1.2,5.7599998,26.309572,12.122677,145.11325
20100228T0000,4.7305284,13.890529,8.755945,46.0,85.0,62.583332,990.9,1008.0,997.1084,0.8000001,17.566378,47.928696,35.131405,224.84406
20100301T0000,1.5505286,10.570529,6.598862,50.0,87.0,68.791664,1009.3,1014.8,1012.16675,0.0,1.4399999,32.55363,11.146793,267.8457
20100302T0000,4.6405287,9.200529,6.739695,74.0,92.0,80.375,1015.3,1023.7,1020.13745,2.1000001,3.096837,22.366402,10.400072,265.36703
20100303T0000,0.17052865,9.620529,5.153029,40.0,93.0,66.916664,1009.8,1023.1,1016.1709,0.0,3.563818,30.955812,16.538996,79.60075
20100304T0000,-0.69947135,8.490529,3.401779,49.0,91.0,68.208336,1008.0,1021.4,1012.78754,1.2,7.386582,27.66384,14.559474,11.960403
20100305T0000,-3.7294714,2.7605286,-0.4307213,45.0,98.0,68.0,1022.7,1026.5,1025.2958,0.0,1.1384199,21.897945,10.895846,338.0238
20100306T0000,-2.1194715,2.8605285,-0.06822137,47.0,92.0,69.458336,1017.1,1025.4,1021.021,1.5,8.4042845,62.070515,32.034115,299.54752
20100307T0000,-5.1694713,3.0005286,-1.419888,50.0,78.0,62.0,1022.1,1025.9,1023.74585,0.0,14.587776,46.812458,31.63037,84.548
20100308T0000,-7.7594714,4.4105287,-1.6723881,36.0,96.0,56.875,1019.0,1025.1,1021.91254,0.0,4.39436,43.14747,22.06851,74.19218
20100309T0000,-5.7494717,1.5005287,-2.2382214,52.0,74.0,62.583332,1015.0,1021.0,1017.3584,0.0,19.191748,45.057564,29.737299,72.29073
20100310T0000,-3.3094714,4.3005285,0.038445298,55.0,91.0,66.208336,1012.7,1016.7,1014.57495,0.2,18.472595,28.802248,23.942236,69.9122
20100311T0000,-1.2194713,2.2905285,0.8251119,66.0,97.0,82.958336,1013.4,1017.4,1014.8792,1.9000002,6.1305785,31.37168,16.525873,29.73703
20100312T0000,-3.5994716,6.2505283,1.4142785,54.0,90.0,75.833336,1017.3,1021.9,1019.7083,0.0,0.35999998,11.726277,5.3635654,334.44003
20100313T0000,-1.1694714,7.2505283,3.213445,56.0,79.0,67.291664,1022.6,1027.5,1025.754,0.0,0.71999997,13.32,6.31794,0.7029724
20100314T0000,0.030528657,7.4505286,4.0430284,62.0,86.0,73.416664,1024.9,1028.7,1026.7124,0.1,1.609969,18.214718,9.951592,289.33786
20100315T0000,0.41052866,8.440529,4.6892786,64.0,91.0,80.375,1025.8,1028.3,1026.8959,1.3,8.4963045,15.119999,11.440669,260.18692
20100316T0000,4.7805285,10.030529,7.103445,64.0,87.0,75.375,1024.7,1029.6,1027.2667,1.3,1.4399999,19.493261,12.076721,268.59598
20100317T0000,0.25052866,14.900529,8.065112,43.0,90.0,68.458336,1026.0,1030.0,1028.0293,0.0,0.5091169,11.440978,6.4650006,134.00365
20100318T0000,5.1805286,17.05053,11.244697,38.0,87.0,59.916668,1021.7,1027.8,1025.0542,0.0,2.6208394,10.483357,7.2607303,109.88517
20100319T0000,7.9505286,17.45053,12.69928,37.0,84.0,61.791668,1019.3,1025.1,1022.40845,0.0,1.2979984,10.703569,5.716522,124.81137
20100320T0000,8.930529,19.89053,13.787196,54.0,84.0,70.375,1012.9,1020.7,1016.73334,0.0,2.16,12.9249525,6.8246026,162.36078
20100321T0000,9.450529,15.710529,13.1580305,65.0,87.0,75.166664,1014.0,1023.3,1017.76654,3.2000003,2.9024127,27.021591,14.42532,265.14294
20100322T0000,7.8005285,14.930529,11.251363,57.0,97.0,75.166664,1019.5,1023.8,1021.5417,0.0,0.8049845,8.473393,4.544162,5.1944427
20100323T0000,7.6705284,16.430529,11.854279,56.0,92.0,72.5,1015.7,1022.3,1019.1209,0.0,2.3051248,6.1305785,3.6216307,124.8622
20100324T0000,5.3205285,18.920528,12.500946,54.0,90.0,67.291664,1010.1,1015.7,1013.1834,0.0,4.6938252,9.531505,7.822412,113.42518
20100325T0000,9.210529,20.37053,13.79803,48.0,87.0,69.25,1006.4,1012.2,1009.679,0.0,4.896529,23.469128,10.627645,122.01744
20100326T0000,7.4505286,14.190529,10.643445,62.0,86.0,74.833336,1004.4,1013.2,1009.35834,3.7,2.968636,36.969738,15.427964,230.09985
20100327T0000,3.6405284,12.990529,9.045945,56.0,91.0,72.458336,1007.8,1013.5,1010.6999,0.4,4.32,25.56,16.77057,236.91747
20100328T0000,7.6105285,12.620529,10.233447,63.0,88.0,76.5,1012.8,1016.5,1014.7917,0.1,12.074766,27.153164,20.686909,253.50928
20100329T0000,9.290529,16.57053,12.665944,50.0,90.0,77.041664,1000.8,1013.2,1007.4167,1.9000001,0.0,16.179987,7.3998027,174.17746
20100330T0000,5.4405284,14.680529,10.127611,54.0,89.0,72.333336,994.3,1005.4,998.66675,2.5,2.5455842,37.419224,16.094707,235.94168
20100331T0000,3.9305286,11.0505295,7.0567784,52.0,81.0,67.666664,1005.4,1009.4,1006.7083,0.5,6.489992,30.018473,19.119493,243.45578
20100401T0000,3.0805285,10.030529,6.195112,42.0,88.0,67.458336,1009.3,1019.4,1014.5583,2.3,6.989936,19.211996,12.812215,263.09967
20100402T0000,-0.17947134,12.930529,7.023445,41.0,94.0,65.958336,1012.9,1020.8,1016.4875,1.0,7.072878,21.470612,12.679005,186.40154
20100403T0000,6.1205287,13.420529,9.09678,61.0,92.0,78.041664,1008.6,1014.9,1011.95844,4.4,4.0249224,18.782204,11.5169325,193.84996
20100404T0000,5.3405285,11.770529,8.466779,52.0,86.0,67.791664,1011.1,1022.5,1015.14166,1.8000001,8.373386,34.57687,19.080667,261.71515
20100405T0000,3.0805285,10.920529,7.136362,41.0,93.0,65.416664,1023.5,1029.7,1027.5792,0.0,2.16,15.683776,10.279995,277.6443
20100406T0000,2.0405285,17.14053,9.732196,46.0,82.0,62.791668,1017.9,1028.7,1022.72925,0.0,7.0911775,22.66857,14.55474,112.83075
20100407T0000,3.4505286,18.80053,11.928445,48.0,90.0,66.291664,1016.9,1020.7,1018.54565,0.0,1.2979984,21.707731,10.704768,256.72363
20100408T0000,8.510529,14.860529,11.346364,74.0,90.0,83.625,1020.9,1026.4,1023.6626,2.6,1.08,18.888851,11.605536,288.97803
20100409T0000,8.730529,16.930529,12.250946,56.0,97.0,81.916664,1026.5,1030.0,1028.3209,0.0,1.08,19.559633,8.639113,9.301132
20100410T0000,5.5705285,14.870529,9.52553,62.0,95.0,80.5,1023.5,1030.8,1026.8417,0.0,2.7416782,24.503809,10.794518,356.84747
20100411T0000,0.84052867,10.090529,6.0026116,56.0,97.0,77.708336,1015.5,1023.9,1019.0542,0.1,0.8049845,28.639803,10.882192,31.956665
20100412T0000,-0.14947134,10.730529,5.5338616,52.0,96.0,79.916664,1012.1,1017.7,1014.60004,0.3,1.484318,29.195534,10.826383,9.921326
20100413T0000,1.7805287,11.670529,6.4034457,61.0,96.0,81.041664,1013.0,1015.3,1014.0542,0.0,2.7416782,18.998314,8.723462,330.3598
20100414T0000,5.1305285,11.920529,8.443445,69.0,87.0,78.666664,1012.0,1015.7,1013.92084,2.2,4.0249224,21.734581,11.114703,359.32065
20100415T0000,3.0505285,13.630529,8.52803,55.0,94.0,77.75,1013.2,1016.4,1014.6624,0.1,0.35999998,13.339445,5.8692646,11.0802
20100416T0000,4.020529,15.200529,9.323445,57.0,96.0,79.291664,1016.3,1019.5,1017.81256,0.0,1.8,20.082708,8.561597,10.645645
20100417T0000,3.5505285,18.280529,10.043862,44.0,95.0,74.791664,1014.6,1021.3,1018.2083,0.0,1.5273507,11.726277,7.4239345,28.673126
20100418T0000,5.5005283,17.65053,12.115528,52.0,96.0,68.0,1011.5,1016.1,1013.5833,0.0,1.0182338,16.56,7.860149,262.71106
20100419T0000,8.8005295,18.72053,14.355113,46.0,90.0,63.333332,1013.8,1015.8,1014.70844,0.0,0.0,12.661564,7.3727646,251.76059
20100420T0000,8.690529,17.87053,13.373863,48.0,82.0,63.791668,1015.0,1017.7,1016.0374,0.0,0.5091169,20.969805,10.473201,256.471
20100421T0000,7.1605287,16.910528,11.285113,50.0,94.0,71.041664,1014.0,1018.5,1016.5749,0.0,1.835647,19.09358,8.846847,324.6701
20100422T0000,3.8005285,16.690529,10.614696,55.0,92.0,71.5,1009.3,1017.9,1013.60846,0.0,0.35999998,10.948973,5.858856,355.3286
20100423T0000,4.7105284,19.180529,11.492611,50.0,90.0,68.208336,1009.9,1014.5,1011.53345,0.0,1.4399999,15.905319,8.106473,333.36615
20100424T0000,6.0705285,20.95053,14.021779,52.0,90.0,67.375,1015.3,1020.1,1017.07916,0.0,0.35999998,13.138765,5.2494893,358.58905
20100425T0000,9.410529,22.410528,16.421778,44.0,87.0,64.291664,1020.0,1024.0,1021.68335,0.0,2.5455842,11.440979,6.6555333,278.3659
